Epoch Number, Total Squared Error, 
0, 1.108936, 
1, 1.091319, 
2, 1.085728, 
3, 1.082075, 
4, 1.070828, 
5, 1.062144, 
6, 1.060077, 
7, 1.060157, 
8, 1.060731, 
9, 1.061513, 
10, 1.061438, 
11, 1.060641, 
12, 1.060203, 
13, 1.060478, 
14, 1.061116, 
15, 1.061765, 
16, 1.062221, 
17, 1.062430, 
18, 1.062528, 
19, 1.062693, 
20, 1.062990, 
21, 1.063366, 
22, 1.063743, 
23, 1.064074, 
24, 1.064358, 
25, 1.064628, 
26, 1.064918, 
27, 1.065239, 
28, 1.065583, 
29, 1.065930, 
30, 1.066269, 
31, 1.066596, 
32, 1.066915, 
33, 1.067230, 
34, 1.067546, 
35, 1.067863, 
36, 1.068179, 
37, 1.068488, 
38, 1.068787, 
39, 1.069065, 
40, 1.069305, 
41, 1.069475, 
42, 1.069515, 
43, 1.069321, 
44, 1.068700, 
45, 1.067316, 
46, 1.064564, 
47, 1.059373, 
48, 1.049909, 
49, 1.033253, 
50, 1.005405, 
51, 0.962299, 
52, 0.901742, 
53, 0.823349, 
54, 0.723834, 
55, 0.598206, 
56, 0.460873, 
57, 0.338971, 
58, 0.236164, 
59, 0.155028, 
60, 0.100557, 
61, 0.067037, 
62, 0.046683, 
63, 0.034204, 
64, 0.026359, 
65, 0.021237, 
