Epoch Number, Total Squared Error, 
0, 0.225535, 
1, 0.212893, 
2, 0.196587, 
3, 0.195510, 
4, 0.194517, 
5, 0.193529, 
6, 0.192524, 
7, 0.191461, 
8, 0.190295, 
9, 0.188982, 
10, 0.187481, 
11, 0.185754, 
12, 0.183790, 
13, 0.181612, 
14, 0.179303, 
15, 0.177000, 
16, 0.174862, 
17, 0.173016, 
18, 0.171519, 
19, 0.170355, 
20, 0.169468, 
21, 0.168790, 
22, 0.168264, 
23, 0.167847, 
24, 0.167511, 
25, 0.167233, 
26, 0.166999, 
27, 0.166800, 
28, 0.166626, 
29, 0.166472, 
30, 0.166334, 
31, 0.166207, 
32, 0.166088, 
33, 0.165977, 
34, 0.165870, 
35, 0.165766, 
36, 0.165665, 
37, 0.165566, 
38, 0.165468, 
39, 0.165370, 
40, 0.165272, 
41, 0.165174, 
42, 0.165076, 
43, 0.164977, 
44, 0.164877, 
45, 0.164776, 
46, 0.164674, 
47, 0.164571, 
48, 0.164468, 
49, 0.164363, 
50, 0.164257, 
51, 0.164150, 
52, 0.164042, 
53, 0.163934, 
54, 0.163824, 
55, 0.163714, 
56, 0.163603, 
57, 0.163492, 
58, 0.163380, 
59, 0.163268, 
60, 0.163156, 
61, 0.163044, 
62, 0.162932, 
63, 0.162820, 
64, 0.162709, 
65, 0.162598, 
66, 0.162488, 
67, 0.162379, 
68, 0.162271, 
69, 0.162163, 
70, 0.162058, 
71, 0.161953, 
72, 0.161851, 
73, 0.161749, 
74, 0.161650, 
75, 0.161553, 
76, 0.161457, 
77, 0.161364, 
78, 0.161272, 
79, 0.161183, 
80, 0.161096, 
81, 0.161011, 
82, 0.160928, 
83, 0.160847, 
84, 0.160769, 
85, 0.160692, 
86, 0.160618, 
87, 0.160546, 
88, 0.160475, 
89, 0.160407, 
90, 0.160340, 
91, 0.160276, 
92, 0.160213, 
93, 0.160151, 
94, 0.160091, 
95, 0.160033, 
96, 0.159976, 
97, 0.159921, 
98, 0.159866, 
99, 0.159813, 
100, 0.159761, 
101, 0.159710, 
102, 0.159661, 
103, 0.159612, 
104, 0.159563, 
105, 0.159516, 
106, 0.159470, 
107, 0.159424, 
108, 0.159379, 
109, 0.159334, 
110, 0.159290, 
111, 0.159247, 
112, 0.159204, 
113, 0.159161, 
114, 0.159119, 
115, 0.159078, 
116, 0.159036, 
117, 0.158996, 
118, 0.158955, 
119, 0.158915, 
120, 0.158875, 
121, 0.158835, 
122, 0.158795, 
123, 0.158756, 
124, 0.158717, 
125, 0.158678, 
126, 0.158639, 
127, 0.158600, 
128, 0.158562, 
129, 0.158523, 
130, 0.158485, 
131, 0.158447, 
132, 0.158409, 
133, 0.158370, 
134, 0.158332, 
135, 0.158294, 
136, 0.158256, 
137, 0.158218, 
138, 0.158180, 
139, 0.158142, 
140, 0.158104, 
141, 0.158066, 
142, 0.158028, 
143, 0.157990, 
144, 0.157951, 
145, 0.157913, 
146, 0.157875, 
147, 0.157836, 
148, 0.157798, 
149, 0.157759, 
150, 0.157720, 
151, 0.157682, 
152, 0.157643, 
153, 0.157604, 
154, 0.157564, 
155, 0.157525, 
156, 0.157486, 
157, 0.157446, 
158, 0.157407, 
159, 0.157367, 
160, 0.157327, 
161, 0.157287, 
162, 0.157247, 
163, 0.157206, 
164, 0.157166, 
165, 0.157125, 
166, 0.157085, 
167, 0.157044, 
168, 0.157003, 
169, 0.156962, 
170, 0.156920, 
171, 0.156879, 
172, 0.156838, 
173, 0.156796, 
174, 0.156755, 
175, 0.156713, 
176, 0.156671, 
177, 0.156629, 
178, 0.156587, 
179, 0.156546, 
180, 0.156504, 
181, 0.156462, 
182, 0.156420, 
183, 0.156378, 
184, 0.156336, 
185, 0.156294, 
186, 0.156252, 
187, 0.156210, 
188, 0.156169, 
189, 0.156127, 
190, 0.156085, 
191, 0.156044, 
192, 0.156003, 
193, 0.155961, 
194, 0.155920, 
195, 0.155880, 
196, 0.155839, 
197, 0.155798, 
198, 0.155758, 
199, 0.155718, 
200, 0.155678, 
201, 0.155638, 
202, 0.155599, 
203, 0.155559, 
204, 0.155520, 
205, 0.155482, 
206, 0.155443, 
207, 0.155405, 
208, 0.155367, 
209, 0.155329, 
210, 0.155292, 
211, 0.155254, 
212, 0.155217, 
213, 0.155181, 
214, 0.155144, 
215, 0.155108, 
216, 0.155072, 
217, 0.155036, 
218, 0.155001, 
219, 0.154965, 
220, 0.154930, 
221, 0.154896, 
222, 0.154861, 
223, 0.154827, 
224, 0.154793, 
225, 0.154759, 
226, 0.154725, 
227, 0.154692, 
228, 0.154659, 
229, 0.154625, 
230, 0.154593, 
231, 0.154560, 
232, 0.154527, 
233, 0.154495, 
234, 0.154463, 
235, 0.154431, 
236, 0.154399, 
237, 0.154367, 
238, 0.154335, 
239, 0.154303, 
240, 0.154272, 
241, 0.154241, 
242, 0.154209, 
243, 0.154178, 
244, 0.154147, 
245, 0.154116, 
246, 0.154085, 
247, 0.154054, 
248, 0.154023, 
249, 0.153992, 
250, 0.153961, 
251, 0.153930, 
252, 0.153899, 
253, 0.153869, 
254, 0.153838, 
255, 0.153807, 
256, 0.153776, 
257, 0.153745, 
258, 0.153714, 
259, 0.153684, 
260, 0.153653, 
261, 0.153622, 
262, 0.153591, 
263, 0.153560, 
264, 0.153529, 
265, 0.153497, 
266, 0.153466, 
267, 0.153435, 
268, 0.153404, 
269, 0.153372, 
270, 0.153341, 
271, 0.153309, 
272, 0.153278, 
273, 0.153246, 
274, 0.153214, 
275, 0.153183, 
276, 0.153151, 
277, 0.153119, 
278, 0.153087, 
279, 0.153054, 
280, 0.153022, 
281, 0.152990, 
282, 0.152957, 
283, 0.152925, 
284, 0.152892, 
285, 0.152860, 
286, 0.152827, 
287, 0.152794, 
288, 0.152761, 
289, 0.152728, 
290, 0.152695, 
291, 0.152661, 
292, 0.152628, 
293, 0.152595, 
294, 0.152561, 
295, 0.152527, 
296, 0.152494, 
297, 0.152460, 
298, 0.152426, 
299, 0.152392, 
300, 0.152358, 
301, 0.152324, 
302, 0.152289, 
303, 0.152255, 
304, 0.152221, 
305, 0.152186, 
306, 0.152152, 
307, 0.152117, 
308, 0.152082, 
309, 0.152047, 
310, 0.152013, 
311, 0.151978, 
312, 0.151943, 
313, 0.151907, 
314, 0.151872, 
315, 0.151837, 
316, 0.151802, 
317, 0.151767, 
318, 0.151731, 
319, 0.151696, 
320, 0.151660, 
321, 0.151625, 
322, 0.151589, 
323, 0.151554, 
324, 0.151518, 
325, 0.151483, 
326, 0.151447, 
327, 0.151412, 
328, 0.151376, 
329, 0.151341, 
330, 0.151305, 
331, 0.151270, 
332, 0.151234, 
333, 0.151199, 
334, 0.151163, 
335, 0.151128, 
336, 0.151092, 
337, 0.151057, 
338, 0.151022, 
339, 0.150987, 
340, 0.150951, 
341, 0.150916, 
342, 0.150881, 
343, 0.150847, 
344, 0.150812, 
345, 0.150777, 
346, 0.150742, 
347, 0.150708, 
348, 0.150674, 
349, 0.150639, 
350, 0.150605, 
351, 0.150571, 
352, 0.150537, 
353, 0.150503, 
354, 0.150470, 
355, 0.150436, 
356, 0.150403, 
357, 0.150370, 
358, 0.150337, 
359, 0.150304, 
360, 0.150271, 
361, 0.150238, 
362, 0.150206, 
363, 0.150174, 
364, 0.150142, 
365, 0.150110, 
366, 0.150078, 
367, 0.150046, 
368, 0.150015, 
369, 0.149984, 
370, 0.149953, 
371, 0.149922, 
372, 0.149891, 
373, 0.149860, 
374, 0.149830, 
375, 0.149800, 
376, 0.149770, 
377, 0.149740, 
378, 0.149710, 
379, 0.149681, 
380, 0.149651, 
381, 0.149622, 
382, 0.149593, 
383, 0.149565, 
384, 0.149536, 
385, 0.149507, 
386, 0.149479, 
387, 0.149451, 
388, 0.149423, 
389, 0.149395, 
390, 0.149368, 
391, 0.149340, 
392, 0.149313, 
393, 0.149286, 
394, 0.149259, 
395, 0.149232, 
396, 0.149206, 
397, 0.149179, 
398, 0.149153, 
399, 0.149127, 
400, 0.149101, 
401, 0.149075, 
402, 0.149050, 
403, 0.149024, 
404, 0.148999, 
405, 0.148974, 
406, 0.148949, 
407, 0.148924, 
408, 0.148899, 
409, 0.148875, 
410, 0.148850, 
411, 0.148826, 
412, 0.148802, 
